Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Tue Oct 25 2016,7:30 pm,New York Knicks,88,Cleveland Cavaliers,117,Box Score,,
Tue Oct 25 2016,10:30 pm,San Antonio Spurs,129,Golden State Warriors,100,Box Score,,
Tue Oct 25 2016,10:00 pm,Utah Jazz,104,Portland Trail Blazers,113,Box Score,,
Wed Oct 26 2016,7:30 pm,Brooklyn Nets,117,Boston Celtics,122,Box Score,,
Wed Oct 26 2016,7:00 pm,Dallas Mavericks,121,Indiana Pacers,130,Box Score,OT,
Wed Oct 26 2016,10:30 pm,Houston Rockets,114,Los Angeles Lakers,120,Box Score,,
Wed Oct 26 2016,8:00 pm,Minnesota Timberwolves,98,Memphis Grizzlies,102,Box Score,,
Wed Oct 26 2016,8:00 pm,Charlotte Hornets,107,Milwaukee Bucks,96,Box Score,,
Wed Oct 26 2016,8:00 pm,Denver Nuggets,107,New Orleans Pelicans,102,Box Score,,
Wed Oct 26 2016,7:00 pm,Miami Heat,108,Orlando Magic,96,Box Score,,
Wed Oct 26 2016,8:00 pm,Oklahoma City Thunder,103,Philadelphia 76ers,97,Box Score,,
Wed Oct 26 2016,10:00 pm,Sacramento Kings,113,Phoenix Suns,94,Box Score,,
Wed Oct 26 2016,7:30 pm,Detroit Pistons,91,Toronto Raptors,109,Box Score,,
Thu Oct 27 2016,7:30 pm,Washington Wizards,99,Atlanta Hawks,114,Box Score,,
Thu Oct 27 2016,8:00 pm,Boston Celtics,99,Chicago Bulls,105,Box Score,,
Thu Oct 27 2016,10:30 pm,Los Angeles Clippers,114,Portland Trail Blazers,106,Box Score,,
Thu Oct 27 2016,10:30 pm,San Antonio Spurs,102,Sacramento Kings,94,Box Score,,
Fri Oct 28 2016,7:30 pm,Indiana Pacers,94,Brooklyn Nets,103,Box Score,,
Fri Oct 28 2016,8:30 pm,Houston Rockets,106,Dallas Mavericks,98,Box Score,,
Fri Oct 28 2016,7:30 pm,Orlando Magic,82,Detroit Pistons,108,Box Score,,
Fri Oct 28 2016,8:00 pm,Charlotte Hornets,97,Miami Heat,91,Box Score,,
Fri Oct 28 2016,9:30 pm,Golden State Warriors,122,New Orleans Pelicans,114,Box Score,,
Fri Oct 28 2016,8:00 pm,Phoenix Suns,110,Oklahoma City Thunder,113,Box Score,OT,
Fri Oct 28 2016,7:00 pm,Cleveland Cavaliers,94,Toronto Raptors,91,Box Score,,
Fri Oct 28 2016,9:00 pm,Los Angeles Lakers,89,Utah Jazz,96,Box Score,,
Sat Oct 29 2016,8:00 pm,Indiana Pacers,101,Chicago Bulls,118,Box Score,,
Sat Oct 29 2016,7:00 pm,Boston Celtics,104,Charlotte Hornets,98,Box Score,,
Sat Oct 29 2016,7:30 pm,Orlando Magic,99,Cleveland Cavaliers,105,Box Score,,
Sat Oct 29 2016,9:00 pm,Portland Trail Blazers,115,Denver Nuggets,113,Box Score,OT,
Sat Oct 29 2016,8:00 pm,Brooklyn Nets,108,Milwaukee Bucks,110,Box Score,,
Sat Oct 29 2016,7:30 pm,Memphis Grizzlies,104,New York Knicks,111,Box Score,,
Sat Oct 29 2016,12:30 pm,Atlanta Hawks,104,Philadelphia 76ers,72,Box Score,,
Sat Oct 29 2016,10:30 pm,Minnesota Timberwolves,103,Sacramento Kings,106,Box Score,,
Sat Oct 29 2016,8:00 pm,New Orleans Pelicans,79,San Antonio Spurs,98,Box Score,,
Sun Oct 30 2016,6:00 pm,Milwaukee Bucks,83,Detroit Pistons,98,Box Score,,
Sun Oct 30 2016,8:00 pm,Dallas Mavericks,92,Houston Rockets,93,Box Score,,
Sun Oct 30 2016,4:30 pm,Utah Jazz,75,Los Angeles Clippers,88,Box Score,,
Sun Oct 30 2016,8:00 pm,Washington Wizards,103,Memphis Grizzlies,112,Box Score,OT,
Sun Oct 30 2016,6:00 pm,San Antonio Spurs,106,Miami Heat,99,Box Score,,
Sun Oct 30 2016,7:00 pm,Los Angeles Lakers,96,Oklahoma City Thunder,113,Box Score,,
Sun Oct 30 2016,6:00 pm,Golden State Warriors,106,Phoenix Suns,100,Box Score,,
Mon Oct 31 2016,7:30 pm,Sacramento Kings,95,Atlanta Hawks,106,Box Score,,
Mon Oct 31 2016,7:30 pm,Chicago Bulls,118,Brooklyn Nets,88,Box Score,,
Mon Oct 31 2016,10:30 pm,Phoenix Suns,98,Los Angeles Clippers,116,Box Score,,
Mon Oct 31 2016,7:30 pm,Denver Nuggets,102,Toronto Raptors,105,Box Score,,